Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
Unnamed Property,Kopar Mumbai Beyond Thane Mumbai,Mumbai Thane,5 to 10 Year,Ready To Move,Carpet Area,676,15733,4,2,2,118,138823.5294
Pam Vasant ,Virar East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Built Up Area,1055,8056,4,2,2,80,94117.64706
Unnamed Property,Byculla East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,800,33750,1,2,2,270,317647.0588
Asmitha Jyothi CHS ,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Super Built Up Area,621,12560,6,1,2,78,91764.70588
Unnamed Property,Naupada Thane Mumbai,Naupada Thane,10+ Year,Ready To Move,Built Up Area,650,15384,9,1,1,100,117647.0588
Unnamed Property,Vile Parle East Mumbai South West Mumbai,Vile Parle Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1327,43234,10,3,3,425,500000
Unnamed Property,102 g Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,708,21892,1,2,2,155,182352.9412
Unnamed Property,Parsik Nagar Flat No 103 First Floor Kalwa Mumbai Beyond Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,645,12403,1,1,2,80,94117.64706
Unnamed Property,C 701 Neelam Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,617,36466,7,2,2,225,264705.8824
Unnamed Property,D 604 Mogra Village Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,602,28239,6,2,2,170,200000
Unnamed Property,429 V P Road Flat No 8 9 Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,1150,23913,3,4,3,265,311764.7059
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,650,19230,2,2,2,125,147058.8235
Unnamed Property,Ho No 8 Sanman Singh Road Bhandup West Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Plot Area,400,8000,2,2,2,32,37647.05882
Aishwarya Avant Heritage 1 and 2 ,1205 JVLR Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,390,30769,12,1,2,120,141176.4706
Heena Presidency ,Mira Road East Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,700,8500,6,1,2,59.5,70000
Unnamed Property,203 Virar East Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,800,6875,2,2,2,55,64705.88235
Unnamed Property,Wada Mumbai Beyond Thane Mumbai,Wada Mumbai,5 to 10 Year,Ready To Move,Plot Area,2400,2291,1,3,2,55,64705.88235
Unnamed Property,S V Road Jawahar Nagar Mumbai,Jawahar Nagar,1 to 5 Year,Ready To Move,Built Up Area,1376,19622,13,3,3,280,329411.7647
Unnamed Property,Casa Bella Suprema Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,585,10170,4,2,2,59.5,70000
Unnamed Property,Flat No 210 Plot No 15 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,640,7968,2,1,1,51,60000
Unnamed Property,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Plot Area,740,6486,2,2,2,49,57647.05882
Unnamed Property,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,378,14550,6,1,1,55,64705.88235
Gundecha Asta ,Sakinaka Mumbai,Sakinaka Mumbai,1 to 5 Year,Ready To Move,Carpet Area,401,26932,11,1,1,108,127058.8235
Kabra Galaxy Star CHS ,Brahmand Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1070,10280,6,2,2,110,129411.7647
Unnamed Property,Flat 301 Plot 356a Sector 31 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,625,8800,3,1,1,55,64705.88235
Unnamed Property,136 Sector 2 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,870,8160,4,2,2,71,83529.41176
Unnamed Property,Dr Din Dayal Road Mumbai Beyond Thane Dombivli West Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Built Up Area,370,6351,4,1,1,23.5,27647.05882
JP Harmony ,Bhd Reliance Residency Near Shiv Mandir Ambernath Mumbai Beyond Thane Mumbai,Ambernath Mumbai,0 to 1 Year,Ready To Move,Built Up Area,995,3517,5,2,2,36,42352.94118
Horizon Homes ,1003 Liberty Garden Mumbai,Liberty Garden,0 to 1 Year,Ready To Move,Carpet Area,627,29505,1,2,2,185,217647.0588
Unnamed Property,Tembhipada Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,300,18666,14,1,1,56,65882.35294
Unnamed Property,Kandivali East Mumbai,Kandivali Mumbai,5 to 10 Year,Ready To Move,Built Up Area,565,15752,5,1,1,89,104705.8824
Unity Apartment ,Damodar Park Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,481,10187,3,1,1,49,57647.05882
Landmark Jawahar Milan CHS ,Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,793,24275,3,3,3,193,227058.8235
Vinay Unique Gardens ,E 801 Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Built Up Area,670,4954,8,1,2,33.5,39411.76471
Unnamed Property,New Panvel New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,825,8484,2,1,1,68,80000
Unnamed Property,Khar West Khar West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,650,19230,4,1,1,125,147058.8235
Sagar Mahal ,Opposite Gopi Birla School And Sheetal Baug Walkeshwar South Mumbai Mumbai,Walkeshwar Mumbai,10+ Year,Ready To Move,Built Up Area,2450,67350,9,4,5,1650,1941176.471
Bharat Shiv Sai Paradise ,C1201 Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,618,13268,12,1,1,82,96470.58824
Unnamed Property,Shivaji Nagar Shivaji Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,195,9230,2,1,1,18,21176.47059
SRK Solitaire ,Sector 18 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1750,17551,6,3,3,215,252941.1765
AO Realty Bianca ,Flat No 1001 Andheri East Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1010,28712,10,3,3,290,341176.4706
Unnamed Property,Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,1100,29545,5,3,3,325,382352.9412
Virat Green Avenue ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,722,9279,2,2,2,67,78823.52941
Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,725,7310,4,1,1,53,62352.94118
Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,673,10401,8,2,2,70,82352.94118
Unnamed Property,Chandivali Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1105,20361,2,2,2,225,264705.8824
SRP Krish Residency ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,430,7674,3,1,1,33,38823.52941
Unnamed Property,Kanjur Marg West LBS Marg Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,982,23421,10,3,3,230,270588.2353
Vissanji Park ,9 a Lokmanya Tilak Colony South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,775,45161,3,1,1,350,411764.7059
Kanakia Rainforest ,Marol Mumbai,Marol Mumbai,1 to 5 Year,Ready To Move,Carpet Area,43.4,391705,2,1,2,170,200000
Unnamed Property,501 Grant Road East South Mumbai Mumbai,South Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1017,26548,5,2,2,250,294117.6471
Lodha Palava City ,F 6 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,305,7540,0,1,1,23,27058.82353
Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,585,14358,2,1,1,84,98823.52941
Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,723,8298,6,2,2,60,70588.23529
Shree Chamunda Dham ,301 Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,800,9687,3,2,2,77.5,91176.47059
Unnamed Property,Dombivli East Dombivli East Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Built Up Area,1205,8215,4,3,3,99,116470.5882
Silver Crest CHS ,Raheja Vihar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1000,19000,3,2,2,190,223529.4118
Samartha Aangan ,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Super Built Up Area,1550,32903,18,3,3,510,600000
Jewel Arista ,Badlapur W Sonivali Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,685,3650,4,1,1,25,29411.76471
Unnamed Property,Dheeraj Jamuna Chs Chincholi Bunder Road MaladWest Chincholi Bunder Road Mumbai,Malad Mumbai,10+ Year,Ready To Move,Built Up Area,570,17544,14,1,2,110,129411.7647
Unnamed Property,Borivali East Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Super Built Up Area,1300,23000,1,3,3,299,351764.7059
Unnamed Property,Malad East Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,436,18348,7,1,2,80,94117.64706
Gopala Apartment ,101 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1550,10322,0,2,2,160,188235.2941
Cosmos Springs Angel ,Owale Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,1400,11785,20,3,3,165,194117.6471
Godrej Sky Garden ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,570,13157,6,2,2,75,88235.29412
Unnamed Property,Chembur Mumbai Maharashtra India Chembur Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Carpet Area,561,52584,2,2,2,295,347058.8235
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,1264,15427,1,3,3,195,229411.7647
Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,1206,62189,6,3,4,750,882352.9412
Panchali Apartment ,Panchali Apartment Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1720,16279,1,3,4,280,329411.7647
Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Super Built Up Area,860,27906,5,2,2,227,267058.8235
Unnamed Property,O 13 Sector 9 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,10+ Year,Ready To Move,Plot Area,2000,8750,2,3,2,175,205882.3529
Unnamed Property,004 a Nalasopara West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,365,6575,0,1,1,24,28235.29412
Unnamed Property,B Wing Rathodi Marve Road Mumbai,Marve Road,5 to 10 Year,Ready To Move,Carpet Area,800,18750,7,2,2,150,176470.5882
Squarefeet Grand Square ,4th Floor Anand Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,409,14180,4,1,2,58,68235.29412
Sai Darshan Apartment ,Ghatkopar West Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,537,23277,5,1,1,125,147058.8235
Lodha Palava City ,F504 casario Gold exotica Kalyanshil Road Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,960,10000,5,2,2,96,112941.1765
Dharma Sadan ,Flat No 201 Dharma Sadan Sec 19 Plot 87 Behind Reliance Fresh Kharghar Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,687.6,17452,2,3,3,120,141176.4706
Vasudev Sky High ,102 Building No 4 Mira Road East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,960,9166,1,2,2,88,103529.4118
Unnamed Property,Plot 26 Panvel Matheran Road Sector 12 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,1185,8016,2,3,2,95,111764.7059
Wadhwa Viceroy Park ,A1401 Dahisar West Mumbai,Dahisar Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1510,18211,14,3,3,275,323529.4118
Unnamed Property,Sector 13 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,460,12391,4,1,1,57,67058.82353
Vihang Hills ,Owale Owale Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,555,15676,9,2,2,87,102352.9412
Unnamed Property,Shirdon Navi Mumbai Mumbai,Shirdon Navi-Mumbai,10+ Year,Ready To Move,Plot Area,3000,2166,1,2,2,65,76470.58824
Unnamed Property,Mazgaon Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,400,22500,5,1,2,90,105882.3529
Unnamed Property,504 Parsik Nagar Kalwa Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,760,9210,5,1,1,70,82352.94118
Greenwood Estate Phase 2 ,A1 101 Phase 1 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,650,6461,1,2,2,42,49411.76471
Unnamed Property,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,850,12352,5,2,2,105,123529.4118
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,449,9354,5,1,1,42,49411.76471
Unnamed Property,605 Parsik Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,760,8947,6,1,1,68,80000
Unnamed Property,Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,460,13043,3,1,2,60,70588.23529
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,829,8443,1,2,2,70,82352.94118
Ravi Gaurav City ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,750,7539,6,2,2,55,64705.88235
Unnamed Property,IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,675,32592,1,3,2,220,258823.5294
Unnamed Property,Titwala Titwala Mumbai Beyond Thane Mumbai,Titwala Mumbai,10+ Year,Ready To Move,Super Built Up Area,530,5660,0,1,1,32,37647.05882
Patels Pride ,703 Ambernath Mumbai Beyond Thane Mumbai,Ambernath Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,938,3732,7,2,2,34,40000
Zoeb Aayesha Palace ,Parel South Mumbai Mumbai,South Mumbai,Under Construction,Under Construction,Super Built Up Area,649,16982,2,1,1,110,129411.7647
Kalpataru Vienta ,Kandivali East Mumbai,Kandivali Mumbai,Under Construction,Under Construction,Carpet Area,1480,39864,8,5,4,590,694117.6471
Anmol Sankalp ,Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1100,9090,12,2,2,100,117647.0588
West Metro Residency ,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1050,7142,7,2,2,75,88235.29412
AO Realty Bianca ,502 Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1194,34530,5,2,2,250,294117.6471
Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,44.25,117514,7,1,1,52,61176.47059
Unnamed Property,Opp Of Sewri Station Sewri Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,200,24000,1,1,1,48,56470.58824
Unnamed Property,403404 Versova Mumbai,Versova Mumbai,10+ Year,Ready To Move,Built Up Area,1750,35714,4,3,3,625,735294.1176
Unnamed Property,202 Gajawakra Adarsh Society Swami Narayan Road 52 Bunglow Bandar Road Panvel Old Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,938,8528,2,2,2,80,94117.64706
Paradise Sai Miracle ,1102 Sector 35E Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1685,15217,11,3,3,175,205882.3529
Jeevan Vihar Building ,Malabar Hill South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,1300,32692,0,2,2,425,500000
Unnamed Property,Neral Mumbai Beyond Thane Mumbai,Neral Mumbai,5 to 10 Year,Ready To Move,Built Up Area,600,3500,1,1,1,21,24705.88235
Unnamed Property,Lalbaug Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,440,30681,5,1,1,135,158823.5294
Unnamed Property,Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Built Up Area,704,22443,4,2,2,158,185882.3529
Konnark Sai Krupa Premises ,102 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2800,16025,1,4,4,250,294117.6471
Paradise Sai Crystals ,702 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1175,15333,7,2,2,115,135294.1176
Unnamed Property,Pokhran 2 Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,1330,28195,16,3,3,375,441176.4706
Unnamed Property,thakurli Mumbai Beyond Thane Mumbai,Thakurli Mumbai,5 to 10 Year,Ready To Move,Built Up Area,665,7368,3,1,1,49,57647.05882
Unnamed Property,204 Kharegaon Mumbai Beyond Thane Mumbai,Kharegaon Mumbai,10+ Year,Ready To Move,Carpet Area,892,14013,2,3,2,125,147058.8235
Unnamed Property,Sector 2 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Plot Area,1200,13750,3,3,2,165,194117.6471
Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,462,21645,7,1,1,100,117647.0588
Bhagwati Greens ,1301 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1365,30000,13,2,2,240,282352.9412
Unnamed Property,1101 A Wing Nehru Nagar Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,565,26548,11,2,2,150,176470.5882
Siddha Seabrook ,Kandivali West Mumbai,Kandivali Mumbai,Under Construction,Under Construction,Carpet Area,706,27903,27,2,2,197,231764.7059
Unnamed Property,106 E Mira Road Mira Road And Beyond Mumbai,Mira Road,Under Construction,Under Construction,Built Up Area,665,8270,1,1,1,55,64705.88235
Unnamed Property,Vasai West Vasai West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,1900,7105,1,4,2,135,158823.5294
Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Carpet Area,1380,22463,6,3,3,310,364705.8824
Darvesh Ayesha Tower ,101 1st Floor Jogeshwari West Mumbai,Jogeshwari Mumbai,10+ Year,Ready To Move,Super Built Up Area,2300,14347,1,3,3,330,388235.2941
Unnamed Property,Row House No 2 400708 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Plot Area,450,16888,2,1,2,76,89411.76471
Unnamed Property,1102 Sector 14 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,2110,29620,11,5,4,625,735294.1176
Unnamed Property,Dadar East South Mumbai Mumbai,Dadar Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1050,42000,2,3,4,441,518823.5294
Unnamed Property,403 404 Seven Bunglow Mumbai,Seven Bunglow,10+ Year,Ready To Move,Built Up Area,1750,35714,4,3,3,625,735294.1176
Unnamed Property,3rd Cross Lane Lokhandwala Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,3500,35000,16,4,4,1000,1176470.588
Shamiks Elanza ,Vakola Mumbai South West Mumbai,Vakola Mumbai,5 to 10 Year,Ready To Move,Carpet Area,59.41,504965,12,2,2,300,352941.1765
Balaji Garden CHS ,Sector 11 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,2200,12727,13,4,4,280,329411.7647
Ten BKC ,Bandra East Mumbai South West Mumbai,South Mumbai,Under Construction,Under Construction,Carpet Area,1328,56475,3,3,4,750,882352.9412
Unnamed Property,Building 14 Flat 02 Ground Floor Hanuman Chowk Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,500,22000,0,1,1,110,129411.7647
Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,Under Construction,Under Construction,Carpet Area,586,30716,12,2,3,180,211764.7059
Raj Estate ,G 402 Kashigaon Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,910,10659,4,2,2,97,114117.6471
Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Carpet Area,659,8801,16,2,2,58,68235.29412
Unnamed Property,E2104 Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,Under Construction,Under Construction,Carpet Area,619,29079,21,2,2,180,211764.7059
Hiranandani Hill Grange ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Built Up Area,1350,15555,3,3,3,210,247058.8235
Tirupati Arcade ,A602 Tirupati Arcade Sector21 Kharghar mumbai Navi Sector 21 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2000,14000,6,3,3,250,294117.6471
Acme Avenue ,11th Floor Charkop Mumbai,Charkop Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1284,11604,11,2,2,138,162352.9412
Unnamed Property,Sion West Central Mumbai suburbs Mumbai,Central Mumbai,Under Construction,Under Construction,Super Built Up Area,2200,47500,20,3,3,570,670588.2353
Dosti Imperia ,3 Bhk Hill Facing Flat Available Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Built Up Area,1654,15235,5,3,3,252,296470.5882
Royal Oasis ,Jankalyan Nagar Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,727,23383,20,2,2,170,200000
Unnamed Property,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,710,19718,14,2,2,140,164705.8824
Unnamed Property,Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,930,34408,12,2,2,320,376470.5882
Unnamed Property,Ghatkopar East Garodia Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,575,23478,2,1,1,135,158823.5294
Omkar Alta Monte ,Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Carpet Area,4200,20238,7,5,5,850,1000000
Unnamed Property,Taloja Bypass Road C 905 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,734,7765,9,2,2,57,67058.82353
Unnamed Property,Jogeshwari East Mumbai,Jogeshwari Mumbai,10+ Year,Ready To Move,Built Up Area,565,20884,6,1,2,118,138823.5294
