Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
Shree Ramtanu Narayan Ellite ,Ghansoli Navi Mumbai Mumbai,72 Lac,10588,Super Built Up Area,1,1,5,1 to 5 Year,Ready To Move,680,Ghansoli Navi-Mumbai,72,19.1193307,72.9995096,847.0588235
Unnamed Property,Kapurbawadi Thane Mumbai,1.42 Crore,19189,Built Up Area,2,2,8,1 to 5 Year,Ready To Move,740,Kapurbawadi Thane,142,19.2203492,72.97810892,1670.588235
Unnamed Property,Dhokali Thane Mumbai,1.41 Crore,18951,Built Up Area,2,2,8,1 to 5 Year,Ready To Move,744,Dhokali Thane,141,19.225128,72.9813793,1658.823529
Unnamed Property,Kolshet Thane Mumbai,1.62 Crore,17234,Carpet Area,2,4,25,0 to 1 Year,Ready To Move,940,Kolshet Thane,162,19.2389025,72.9932692,1905.882353
Dynamic Avenue ,Ulwe Navi Mumbai Mumbai,40 Lac,6060,Super Built Up Area,1,2,4,0 to 1 Year,Ready To Move,660,Ulwe Navi-Mumbai,40,18.97686135,73.02013111,470.5882353
Lodha Luxuria ,Majiwada Thane Mumbai,1.98 Crore,16966,Carpet Area,3,3,3,1 to 5 Year,Ready To Move,1167,Majiwada Thane,198,19.2000627,72.9666732,2329.411765
Hiranandani Eagleridge ,Hiranandani Estate Thane Mumbai,1.72 Crore,16195,Built Up Area,2,2,25,0 to 1 Year,Ready To Move,1062,Hiranandani-Estate Thane,172,19.2570093,72.9839263,2023.529412
Lodha Luxuria ,Majiwada Thane Mumbai,2 Crore,11834,Built Up Area,3,3,4,1 to 5 Year,Ready To Move,1690,Majiwada Thane,200,19.2000627,72.9666732,2352.941176
Unnamed Property,Anand Nagar Thane Mumbai,95 Lac,10844,Built Up Area,2,2,6,0 to 1 Year,Ready To Move,876,Nagar Thane,95,19.2644174,72.9675762,1117.647059
Unnamed Property,Thane West Thane Mumbai,73 Lac,8323,Built Up Area,2,2,5,0 to 1 Year,Ready To Move,877,Thane Thane,73,19.03160615,73.0142513,858.8235294
Gurukrupa Aramus Complex ,1100 Ulwe Navi Mumbai Mumbai,74 Lac,6727,Built Up Area,1,1,11,0 to 1 Year,Ready To Move,1100,Ulwe Navi-Mumbai,74,18.97686135,73.02013111,870.5882353
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,2.28 Crore,15200,Super Built Up Area,3,3,13,0 to 1 Year,Ready To Move,1500,Balkum Thane,228,19.2257758,72.9877406,2682.352941
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,2.25 Crore,15000,Super Built Up Area,3,3,11,1 to 5 Year,Ready To Move,1500,Balkum Thane,225,19.2257758,72.9877406,2647.058824
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,98 Lac,9800,Super Built Up Area,2,2,22,1 to 5 Year,Ready To Move,1000,Balkum Thane,98,19.2257758,72.9877406,1152.941176
Kalpataru Sunrise ,1111 Balkum Thane Mumbai,99 Lac,9900,Super Built Up Area,2,2,7,1 to 5 Year,Ready To Move,1000,Balkum Thane,99,19.2257758,72.9877406,1164.705882
Luxora Crystal Spires ,Manpada Thane Mumbai,3.95 Crore,22067,Built Up Area,3,3,3,0 to 1 Year,Ready To Move,2500,Manpada Thane,395,19.2353185,72.9759496,4647.058824
Sheth Auris Ilaria ,2609 Malad West Mumbai,1.69 Crore,16820,Super Built Up Area,2,2,29,0 to 1 Year,Ready To Move,1006,Malad Mumbai,169,19.1840129,72.8412155,1988.235294
Bhoomi Celestia ,Malad West Malad West Mumbai,6.99 Crore,24831,Super Built Up Area,4,5,20,0 to 1 Year,Ready To Move,2815,Malad Malad,699,19.1950719,72.8342687,8223.529412
Bhoomi Celestia ,Malad West Malad West Mumbai,5.5 Crore,24129,Super Built Up Area,3,3,20,0 to 1 Year,Ready To Move,2279,Malad Malad,550,19.1950719,72.8342687,6470.588235
Hiranandani-Estate Brentford ,302 Ghodbunder Road Thane Mumbai,85 Lac,22972,Carpet Area,1,1,3,10+ Year,Ready To Move,370,Road Thane,85,19.2188585,72.9779234,1000
Tulsi Aura ,Sector 8 Ghansoli Navi Mumbai Mumbai,80 Lac,12598,Super Built Up Area,1,2,6,1 to 5 Year,Ready To Move,635,Ghansoli Navi-Mumbai,80,19.12024585,72.99595293,941.1764706
Unnamed Property,Thakur Village Mumbai,3.25 Crore,31041,Carpet Area,3,3,20,1 to 5 Year,Ready To Move,1047,Thakur Village,325,19.2097189,72.8759248,3823.529412
Unnamed Property,1111 Kolshet Road Thane Mumbai,99 Lac,11000,Super Built Up Area,2,2,26,0 to 1 Year,Ready To Move,900,Road Thane,99,19.2326261,72.9875274,1164.705882
One Hiranandani Park ,Hiranandani Estate Thane Mumbai,4.1 Crore,20950,Built Up Area,3,3,4,1 to 5 Year,Ready To Move,1957,Hiranandani-Estate Thane,410,19.2570093,72.9839263,4823.529412
Runwal Eirene ,Balkum Thane Mumbai,1.95 Crore,11818,Super Built Up Area,3,3,23,0 to 1 Year,Ready To Move,1650,Balkum Thane,195,19.22169075,72.98449242,2294.117647
Dynamic Avenue ,Ulwe Navi Mumbai Mumbai,38 Lac,6129,Super Built Up Area,1,1,4,0 to 1 Year,Ready To Move,620,Ulwe Navi-Mumbai,38,18.97686135,73.02013111,447.0588235
Hiranandani Eagleridge ,Hiranandani Estate Thane Mumbai,2.45 Crore,24747,Carpet Area,2,2,3,0 to 1 Year,Ready To Move,990,Hiranandani-Estate Thane,245,19.2570093,72.9839263,2882.352941
Delta Avenue ,0000 Uthalsar Thane Mumbai,1.7 Crore,16190,Super Built Up Area,2,2,2,1 to 5 Year,Ready To Move,1050,Uthalsar Thane,170,19.2000627,72.9666732,2000
Unnamed Property,302 Thane West Thane Mumbai,2.2 Crore,16923,Super Built Up Area,3,2,3,10+ Year,Ready To Move,1300,Thane Thane,220,19.03160615,73.0142513,2588.235294
Unnamed Property,Hiranandani Estate Thane Mumbai,76 Lac,16888,Carpet Area,1,2,1,10+ Year,Ready To Move,450,Hiranandani-Estate Thane,76,19.2570093,72.9839263,894.1176471
Unnamed Property,Charkop Sector 4 Charkop Mumbai,85 Lac,34000,Plot Area,2,2,3,10+ Year,Ready To Move,250,Charkop Charkop,85,19.21299625,72.8222443,1000
Ashar Sapphire And Galleria ,1111 Thane West Thane Mumbai,2.35 Crore,24736,Carpet Area,3,3,24,0 to 1 Year,Ready To Move,950,Thane Thane,235,19.02601135,73.01016708,2764.705882
Cosmos Horizon 2 ,Pokhran 2 Thane Mumbai,1.35 Crore,19285,Carpet Area,2,2,12,10+ Year,Ready To Move,700,Pokhran Thane,135,19.2209997,72.96302047,1588.235294
Sadguru Complex ,1301 Goregaon East Mumbai,2.7 Crore,33750,Carpet Area,2,2,13,1 to 5 Year,Ready To Move,800,Goregaon Mumbai,270,19.1692623,72.8552548,3176.470588
Unnamed Property,Vasant Vihar Thane Mumbai,1.35 Crore,18243,Carpet Area,2,2,5,10+ Year,Ready To Move,740,Vihar Thane,135,19.2224245,72.9698126,1588.235294
Unnamed Property,Pawar Nagar Thane Mumbai,95 Lac,13571,Carpet Area,2,2,3,0 to 1 Year,Ready To Move,700,Nagar Thane,95,19.22885765,72.96596995,1117.647059
Ashar Edge ,Pokhran 2 Thane Mumbai,1.5 Crore,21428,Carpet Area,2,2,16,0 to 1 Year,Ready To Move,700,Pokhran Thane,150,19.2209997,72.96302047,1764.705882
Ashar Edge ,Pokhran 2 Thane Mumbai,1.55 Crore,22142,Carpet Area,2,2,15,0 to 1 Year,Ready To Move,700,Pokhran Thane,155,19.2209997,72.96302047,1823.529412
Vaibhavlaxmi Aurigae Residency ,Thakur complex Mumbai,1 Crore,15220,Super Built Up Area,1,2,8,1 to 5 Year,Ready To Move,657,Thakur Complex,100,19.21124415,72.86431075,1176.470588
Unnamed Property,Vasant Vihar Thane Mumbai,75 Lac,19430,Carpet Area,1,1,4,10+ Year,Ready To Move,386,Vihar Thane,75,19.2224245,72.9698126,882.3529412
Luxora Crystal Spires ,Manpada Thane Mumbai,2.15 Crore,20476,Carpet Area,3,2,5,0 to 1 Year,Ready To Move,1050,Manpada Thane,215,19.2353185,72.9759496,2529.411765
Kalpataru Siddhachal 8 ,Vasant Vihar Thane Mumbai,1.57 Crore,22819,Carpet Area,2,2,5,5 to 10 Year,Ready To Move,688,Vihar Thane,157,19.2224245,72.9698126,1847.058824
Unnamed Property,Kandivali West Mumbai,1.05 Crore,23333,Carpet Area,1,2,6,10+ Year,Ready To Move,450,Kandivali Mumbai,105,19.2084002,72.8422235,1235.294118
Acme Ozone ,Manpada Thane Mumbai,1.7 Crore,10752,Built Up Area,3,3,7,1 to 5 Year,Ready To Move,1581,Manpada Thane,170,19.2353185,72.9759496,2000
Devkrupa Dev Arpan ,Kharghar Navi Mumbai Mumbai,50 Lac,12500,Carpet Area,1,1,2,1 to 5 Year,Ready To Move,400,Kharghar Navi-Mumbai,50,19.025773,73.05918453,588.2352941
Acme Ozone ,Manpada Thane Mumbai,1.7 Crore,11333,Built Up Area,3,3,7,1 to 5 Year,Ready To Move,1500,Manpada Thane,170,19.2353185,72.9759496,2000
Kabra Shubharambh CHS ,Manpada Thane Mumbai,70 Lac,11965,Built Up Area,1,1,6,5 to 10 Year,Ready To Move,585,Manpada Thane,70,19.2353185,72.9759496,823.5294118
Shital Tapovan Heights ,Ulwe Navi Mumbai Mumbai,58 Lac,8656,Super Built Up Area,1,2,11,0 to 1 Year,Ready To Move,670,Ulwe Navi-Mumbai,58,18.97686135,73.02013111,682.3529412
Acme Ozone ,Manpada Thane Mumbai,1.22 Crore,12734,Built Up Area,2,2,24,1 to 5 Year,Ready To Move,958,Manpada Thane,122,19.2353185,72.9759496,1435.294118
Unnamed Property,Thane West Thane Mumbai,95 Lac,22673,Carpet Area,1,1,3,1 to 5 Year,Ready To Move,419,Thane Thane,95,19.03160615,73.0142513,1117.647059
Unnamed Property,Manpada Thane Mumbai,1.55 Crore,10333,Built Up Area,3,3,12,10+ Year,Ready To Move,1500,Manpada Thane,155,19.2353185,72.9759496,1823.529412
Unnamed Property,178 Sector 9 Charkop Mumbai,2 Crore,9090,Built Up Area,3,3,2,10+ Year,Ready To Move,2200,Charkop Mumbai,200,19.218922,72.8189833,2352.941176
Unnamed Property,Dombivli East Thane Mumbai,33 Lac,6470,Carpet Area,1,1,17,1 to 5 Year,Ready To Move,510,Dombivli Thane,33,19.2111814,73.091129,388.2352941
Unnamed Property,Dombivli East Thane Mumbai,62 Lac,8446,Carpet Area,2,2,11,1 to 5 Year,Ready To Move,734,Dombivli Thane,62,19.2111814,73.091129,729.4117647
Unnamed Property,Dombivli East Thane Mumbai,66 Lac,7980,Carpet Area,3,2,16,1 to 5 Year,Ready To Move,827,Dombivli Thane,66,19.2111814,73.091129,776.4705882
Unnamed Property,Dombivli East Thane Mumbai,55 Lac,7493,Carpet Area,2,2,15,1 to 5 Year,Ready To Move,734,Dombivli Thane,55,19.2111814,73.091129,647.0588235
Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,53 Lac,7220,Carpet Area,2,2,6,1 to 5 Year,Ready To Move,734,Dombivli Thane,53,19.2111814,73.091129,623.5294118
Unnamed Property,Ulwe Navi Mumbai Mumbai,44.5 Lac,6402,Built Up Area,1,2,7,0 to 1 Year,Ready To Move,695,Ulwe Navi-Mumbai,44.5,18.97686135,73.02013111,523.5294118
DB Ozone ,504 Dahisar East Mumbai,85 Lac,13934,Super Built Up Area,2,2,15,1 to 5 Year,Ready To Move,910,Dahisar Mumbai,85,19.2486925,72.8640593,1000
Dipti Surya CHS ,Jogeshwari East Mumbai,1.22 Crore,29901,Carpet Area,1,1,4,0 to 1 Year,Ready To Move,408,Jogeshwari Mumbai,122,19.1284039,72.9209643,1435.294118
Prathamesh Krupa Kedar Darshan ,Azad Nagar Andheri West Mumbai,1.85 Crore,27333,Super Built Up Area,2,2,11,1 to 5 Year,Ready To Move,750,Nagar Andheri,185,19.12691015,72.8376484,2176.470588
Unnamed Property,Ulwe Navi Mumbai Mumbai,47.5 Lac,6643,Built Up Area,1,2,2,0 to 1 Year,Ready To Move,715,Ulwe Navi-Mumbai,47.5,18.97686135,73.02013111,558.8235294
RNA NG Eclat ,Lokhandwala Andheri West Mumbai,2.7 Crore,30476,Built Up Area,2,2,9,0 to 1 Year,Ready To Move,1050,Lokhandwala Andheri,270,19.1312947,72.8246301,3176.470588
Neminath Luxeria ,SV Patel Nagar Mumbai,2.26 Crore,20545,Super Built Up Area,3,3,20,1 to 5 Year,Ready To Move,1100,Patel Nagar,226,19.1401182,72.8207223,2658.823529
Unnamed Property,Ulwe Navi Mumbai Mumbai,76 Lac,6755,Built Up Area,2,2,5,0 to 1 Year,Ready To Move,1125,Ulwe Navi-Mumbai,76,18.97686135,73.02013111,894.1176471
Paradigm EL Signora ,Oshiwara Mumbai,1.72 Crore,26461,Super Built Up Area,2,2,12,0 to 1 Year,Ready To Move,650,Oshiwara Mumbai,172,19.1502437,72.8342294,2023.529412
Unnamed Property,Azad Nagar Mumbai,1.35 Crore,22500,Super Built Up Area,1,2,11,1 to 5 Year,Ready To Move,600,Azad Nagar,135,19.1657976,72.955893,1588.235294
Unnamed Property,Ulwe Navi Mumbai Mumbai,48.5 Lac,6889,Super Built Up Area,1,2,5,0 to 1 Year,Ready To Move,704,Ulwe Navi-Mumbai,48.5,18.97686135,73.02013111,570.5882353
Unnamed Property,002 Jogeshwari East Mumbai,30 Lac,13333,Carpet Area,1,1,0,5 to 10 Year,Ready To Move,225,Jogeshwari Mumbai,30,19.1284039,72.9209643,352.9411765
Unnamed Property,0000 Hiranandani Estate Thane Mumbai,1.45 Crore,14795,Super Built Up Area,2,2,5,10+ Year,Ready To Move,980,Hiranandani-Estate Thane,145,19.2570093,72.9839263,1705.882353
Unnamed Property,Andheri West Mumbai,2.8 Crore,25454,Super Built Up Area,2,2,8,10+ Year,Ready To Move,1100,Andheri Mumbai,280,19.1172495,72.833968,3294.117647
Wadhwa Crown Residences ,1209 Goregaon West Mumbai,2.39 Crore,33661,Carpet Area,2,2,12,0 to 1 Year,Ready To Move,710,Goregaon Mumbai,239,19.1633281,72.8411995,2811.764706
Kalpataru Sunrise ,Balkum Thane Mumbai,1.05 Crore,13125,Super Built Up Area,2,2,15,1 to 5 Year,Ready To Move,800,Balkum Thane,105,19.22169075,72.98449242,1235.294118
Unnamed Property,Dhokali Thane Mumbai,84 Lac,11275,Built Up Area,2,2,15,10+ Year,Ready To Move,745,Dhokali Thane,84,19.225128,72.9813793,988.2352941
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,2.42 Crore,14666,Super Built Up Area,3,3,17,1 to 5 Year,Ready To Move,1650,Ghansoli Navi-Mumbai,242,19.1193307,72.9995096,2847.058824
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,2.75 Crore,15193,Super Built Up Area,3,3,37,1 to 5 Year,Ready To Move,1810,Ghansoli Navi-Mumbai,275,19.1193307,72.9995096,3235.294118
Unnamed Property,501 Manpada Thane Mumbai,65 Lac,14772,Carpet Area,1,1,5,10+ Year,Ready To Move,440,Manpada Thane,65,19.2336292,72.976389,764.7058824
Unnamed Property,305 Dhokali Thane Mumbai,58 Lac,13181,Carpet Area,1,1,3,10+ Year,Ready To Move,440,Dhokali Thane,58,19.2260682,72.9798438,682.3529412
Acme Ozone ,Manpada Thane Mumbai,1.3 Crore,19117,Carpet Area,2,2,12,1 to 5 Year,Ready To Move,680,Manpada Thane,130,19.2353185,72.9759496,1529.411765
Regency Heights ,Thane West Thane Mumbai,1.49 Crore,18259,Carpet Area,2,2,8,5 to 10 Year,Ready To Move,816,Thane Thane,149,19.03160615,73.0142513,1752.941176
One Hiranandani Park ,Hiranandani Estate Thane Mumbai,1.6 Crore,29906,Carpet Area,2,2,20,1 to 5 Year,Ready To Move,535,Hiranandani-Estate Thane,160,19.2570093,72.9839263,1882.352941
Unnamed Property,906 Kolshet Road Thane Mumbai,1.3 Crore,12974,Built Up Area,2,2,9,1 to 5 Year,Ready To Move,1002,Road Thane,130,19.2326261,72.9875274,1529.411765
Runwal Pearl ,701 Manpada Thane Mumbai,69.5 Lac,17375,Carpet Area,1,2,6,5 to 10 Year,Ready To Move,400,Manpada Thane,69.5,19.2336292,72.976389,817.6470588
Hiranandani The Walk ,Hiranandani Estate Thane Mumbai,89 Lac,21190,Carpet Area,1,2,4,1 to 5 Year,Ready To Move,420,Hiranandani-Estate Thane,89,19.2570093,72.9839263,1047.058824
Unnamed Property,Hiranandani Estate Thane Mumbai,1.2 Crore,18181,Carpet Area,2,2,3,10+ Year,Ready To Move,660,Hiranandani-Estate Thane,120,19.2570093,72.9839263,1411.764706
Unnamed Property,Hiranandani Estate Thane Mumbai,1.25 Crore,17241,Carpet Area,2,2,6,10+ Year,Ready To Move,725,Hiranandani-Estate Thane,125,19.2570093,72.9839263,1470.588235
Unnamed Property,Hiranandani Estate Thane Mumbai,2.05 Crore,20500,Built Up Area,3,2,7,1 to 5 Year,Ready To Move,1000,Hiranandani-Estate Thane,205,19.2570093,72.9839263,2411.764706
DB Ozone ,Dahisar East Mumbai,70 Lac,7936,Super Built Up Area,2,2,9,0 to 1 Year,Ready To Move,882,Dahisar Mumbai,70,19.2486925,72.8640593,823.5294118
DB Ozone ,Dahisar East Mumbai,77 Lac,8769,Super Built Up Area,2,2,14,0 to 1 Year,Ready To Move,878,Dahisar Mumbai,77,19.2486925,72.8640593,905.8823529
Platinum Silver Classic ,Roadpali Navi Mumbai Mumbai,66 Lac,6376,Super Built Up Area,2,2,7,5 to 10 Year,Ready To Move,1035,Roadpali Navi-Mumbai,66,19.0392786,73.0992311,776.4705882
Reliable Balaji Shrishti ,Kalamboli Navi Mumbai Mumbai,52 Lac,7536,Super Built Up Area,1,2,4,5 to 10 Year,Ready To Move,690,Kalamboli Navi-Mumbai,52,19.0392786,73.0992311,611.7647059
Runwal My City ,2101 Dombivli East Thane Mumbai,35.9 Lac,8952,Carpet Area,1,2,24,1 to 5 Year,Ready To Move,401,Dombivli Thane,35.9,19.2111814,73.091129,422.3529412
Unnamed Property,Dombivli East Thane Mumbai,33.25 Lac,6650,Carpet Area,1,1,16,1 to 5 Year,Ready To Move,500,Dombivli Thane,33.2,19.2111814,73.091129,390.5882353
Runwal My City ,Dombivli East Thane Mumbai,49 Lac,8750,Carpet Area,2,2,24,1 to 5 Year,Ready To Move,560,Dombivli Thane,49,19.2111814,73.091129,576.4705882
Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,44.75 Lac,7014,Carpet Area,2,2,8,1 to 5 Year,Ready To Move,638,Dombivli Thane,44.8,19.2111814,73.091129,527.0588235
Lodha Lakeshore Greens ,Dombivli East Thane Mumbai,34.75 Lac,6950,Carpet Area,1,1,7,1 to 5 Year,Ready To Move,500,Dombivli Thane,34.8,19.2111814,73.091129,409.4117647
Unnamed Property,Ulwe Navi Mumbai Mumbai,63 Lac,14651,Carpet Area,1,1,11,0 to 1 Year,Ready To Move,430,Ulwe Navi-Mumbai,63,18.97686135,73.02013111,741.1764706
Unnamed Property,Ulwe Navi Mumbai Mumbai,95 Lac,10555,Carpet Area,2,2,1,0 to 1 Year,Ready To Move,900,Ulwe Navi-Mumbai,95,18.97686135,73.02013111,1117.647059
Gurukrupa Aramus Complex ,Ulwe Navi Mumbai Mumbai,60 Lac,13953,Carpet Area,1,2,2,1 to 5 Year,Ready To Move,430,Ulwe Navi-Mumbai,60,18.97686135,73.02013111,705.8823529
Unnamed Property,Thane West Thane Mumbai,69 Lac,17692,Carpet Area,1,2,4,5 to 10 Year,Ready To Move,390,Thane Thane,69,19.03160615,73.0142513,811.7647059
Acme Ozone ,Manpada Thane Mumbai,2.25 Crore,21286,Carpet Area,4,4,3,1 to 5 Year,Ready To Move,1057,Manpada Thane,225,19.2353185,72.9759496,2647.058824
Bhakti Aura ,Ulwe Navi Mumbai Mumbai,60 Lac,8633,Super Built Up Area,1,1,11,0 to 1 Year,Ready To Move,695,Ulwe Navi-Mumbai,60,18.97686135,73.02013111,705.8823529
Unnamed Property,Ulwe Navi Mumbai Mumbai,45 Lac,10344,Carpet Area,1,1,4,1 to 5 Year,Ready To Move,435,Ulwe Navi-Mumbai,45,18.97686135,73.02013111,529.4117647
Unnamed Property,Ulwe Navi Mumbai Mumbai,80 Lac,12307,Carpet Area,2,2,3,1 to 5 Year,Ready To Move,650,Ulwe Navi-Mumbai,80,18.97686135,73.02013111,941.1764706
Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,1.1 Crore,10476,Super Built Up Area,2,2,2,5 to 10 Year,Ready To Move,1050,Ghansoli Navi-Mumbai,110,19.1229321,72.99130752,1294.117647
Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,76 Lac,11692,Super Built Up Area,1,1,10,0 to 1 Year,Ready To Move,650,Ghansoli Navi-Mumbai,76,19.1229321,72.99130752,894.1176471
Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,68 Lac,10461,Super Built Up Area,1,1,6,5 to 10 Year,Ready To Move,650,Ghansoli Navi-Mumbai,68,19.1229321,72.99130752,800
Nakshatra Swastik Alps ,1604 Brahmand Thane Mumbai,1.55 Crore,10726,Built Up Area,3,3,16,5 to 10 Year,Ready To Move,1445,Brahmand Thane,155,19.2406201,72.98144752,1823.529412
Silver Leaf ,Kandivali East Mumbai,3.04 Crore,27636,Carpet Area,3,3,4,5 to 10 Year,Ready To Move,1100,Kandivali Mumbai,304,19.2103809,72.8640837,3576.470588
Unnamed Property,Ashok Nagar Kandivali Mumbai,1.78 Crore,20941,Built Up Area,2,2,5,10+ Year,Ready To Move,850,Nagar Kandivali,178,19.19905655,72.85543228,2094.117647
Surya Complex ,113 Dombivli West Thane Mumbai,38 Lac,7238,Carpet Area,1,1,2,10+ Year,Ready To Move,525,Dombivli Thane,38,19.2221822,73.0809274,447.0588235
Unnamed Property,334 Dombivli West Thane Mumbai,35 Lac,11111,Carpet Area,1,1,1,1 to 5 Year,Ready To Move,315,Dombivli Thane,35,19.2221822,73.0809274,411.7647059
Unnamed Property,443 Dombivli West Thane Mumbai,31 Lac,6783,Carpet Area,1,1,6,1 to 5 Year,Ready To Move,457,Dombivli Thane,31,19.2221822,73.0809274,364.7058824
Unnamed Property,Kandivali East Mumbai,1.08 Crore,26341,Carpet Area,1,2,5,1 to 5 Year,Ready To Move,410,Kandivali Mumbai,108,19.2103809,72.8640837,1270.588235
Unnamed Property,Kandivali East Mumbai,60 Lac,20000,Built Up Area,1,1,4,5 to 10 Year,Ready To Move,300,Kandivali Mumbai,60,19.2103809,72.8640837,705.8823529
Sanghvi Palash ,Ashok Nagar Kandivali East Kandivali East Mumbai,1.5 Crore,26269,Carpet Area,2,2,5,0 to 1 Year,Ready To Move,571,Kandivali Kandivali,150,19.19905655,72.85543228,1764.705882
Satyam Harmony ,Koparkhairane Navi Mumbai Mumbai,1.85 Crore,20555,Built Up Area,3,2,17,0 to 1 Year,Ready To Move,1215,Koparkhairane Navi-Mumbai,185,19.10083655,72.99854111,2176.470588
Satyam Harmony ,Koparkhairane Navi Mumbai Mumbai,1.35 Crore,15882,Built Up Area,2,2,15,0 to 1 Year,Ready To Move,850,Koparkhairane Navi-Mumbai,135,19.10083655,72.99854111,1588.235294
Unnamed Property,Airoli Navi Mumbai Mumbai,1.25 Crore,18656,Built Up Area,2,2,3,1 to 5 Year,Ready To Move,1070,Airoli Navi-Mumbai,125,19.1582719,72.9967088,1470.588235
Unnamed Property,Sector 8A Airoli Navi Mumbai Mumbai,75 Lac,13636,Built Up Area,1,1,1,10+ Year,Ready To Move,550,Airoli Navi-Mumbai,75,19.1608677,72.9953728,882.3529412
Runwal Eirene ,Balkum Thane Mumbai,96 Lac,18249,Carpet Area,2,2,15,0 to 1 Year,Ready To Move,526.05,Balkum Thane,96,19.22169075,72.98449242,1129.411765
Unnamed Property,Sector 8 Sanpada Navi Mumbai Mumbai,78 Lac,19070,Carpet Area,1,1,2,10+ Year,Ready To Move,409,Sanpada Navi-Mumbai,78,19.0692829,73.0010786,917.6470588
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,2.75 Crore,15193,Super Built Up Area,3,3,37,0 to 1 Year,Ready To Move,1810,Ghansoli Navi-Mumbai,275,19.1193307,72.9995096,3235.294118
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,1.75 Crore,21847,Carpet Area,2,2,12,0 to 1 Year,Ready To Move,801,Ghansoli Navi-Mumbai,175,19.1193307,72.9995096,2058.823529
Runwal Dahlia ,000 Balkum Thane Mumbai,2.1 Crore,17887,Carpet Area,3,3,24,1 to 5 Year,Ready To Move,1174,Balkum Thane,210,19.2257758,72.9877406,2470.588235
Lodha Luxuria ,Majiwada Thane Mumbai,2.22 Crore,20181,Carpet Area,3,3,24,1 to 5 Year,Ready To Move,1100,Majiwada Thane,222,19.2000627,72.9666732,2611.764706
Highland Haven ,0006 Balkum Thane Mumbai,1.46 Crore,14600,Carpet Area,3,3,2,1 to 5 Year,Ready To Move,1000,Balkum Thane,146,19.2257758,72.9877406,1717.647059
Unnamed Property,JVLR Mumbai,1.92 Crore,18045,Super Built Up Area,2,2,2,10+ Year,Ready To Move,1064,Jvlr Mumbai,192,19.1396508,72.8669543,2258.823529
Unnamed Property,0000 Balkum Thane Mumbai,2.45 Crore,25654,Carpet Area,2,2,20,0 to 1 Year,Ready To Move,955,Balkum Thane,245,19.2257758,72.9877406,2882.352941
Luxora Crystal Spires ,0000 Manpada Thane Mumbai,6.3 Crore,2780,Carpet Area,4,5,0,0 to 1 Year,Ready To Move,22658,Manpada Thane,630,19.2336292,72.976389,7411.764706
Unnamed Property,0000 Balkum Thane Mumbai,2.4 Crore,25130,Carpet Area,2,2,8,0 to 1 Year,Ready To Move,955,Balkum Thane,240,19.2257758,72.9877406,2823.529412
Unnamed Property,0000 Balkum Thane Mumbai,2.35 Crore,25268,Carpet Area,2,2,8,0 to 1 Year,Ready To Move,930,Balkum Thane,235,19.2257758,72.9877406,2764.705882
Luxora Crystal Spires ,0000 Manpada Thane Mumbai,2.7 Crore,21951,Carpet Area,3,3,5,0 to 1 Year,Ready To Move,1230,Manpada Thane,270,19.2336292,72.976389,3176.470588
Ashar Edge ,0000 Pokhran 2 Thane Mumbai,1.5 Crore,22970,Carpet Area,2,2,33,0 to 1 Year,Ready To Move,653,Pokhran Thane,150,19.219052,72.9678472,1764.705882
Unnamed Property,0000 Dhokali Thane Mumbai,1.08 Crore,15000,Carpet Area,2,2,4,5 to 10 Year,Ready To Move,720,Dhokali Thane,108,19.2260682,72.9798438,1270.588235
Lodha Luxuria ,0000 Majiwada Thane Mumbai,1.25 Crore,16960,Carpet Area,2,2,11,1 to 5 Year,Ready To Move,737,Majiwada Thane,125,19.2000627,72.9666732,1470.588235
Lodha Casa Viva ,0000 Majiwada Thane Mumbai,1.25 Crore,18463,Carpet Area,2,2,22,1 to 5 Year,Ready To Move,677,Majiwada Thane,125,19.2000627,72.9666732,1470.588235
Crown Thane Lodha  Quality Homes ,0000 Majiwada Thane Mumbai,56 Lac,16568,Carpet Area,1,1,6,0 to 1 Year,Ready To Move,338,Majiwada Thane,56,19.2000627,72.9666732,658.8235294
Piramal Vaikunth ,0000 Balkum Thane Mumbai,2.5 Crore,25050,Carpet Area,3,2,10,0 to 1 Year,Ready To Move,998,Balkum Thane,250,19.2257758,72.9877406,2941.176471
Unnamed Property,Borivali West Mumbai,1.65 Crore,29569,Carpet Area,2,2,6,0 to 1 Year,Ready To Move,558,Borivali Mumbai,165,19.2294561,72.8479905,1941.176471
