Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
Unnamed Property,0000 Kandivali West Mumbai,56 Lac,18300,Carpet Area,1,1,16,5 to 10 Year,Ready To Move,306,Kandivali Mumbai,56,19.2084002,72.8422235,658.8235294
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,2.85 Crore,17812,Super Built Up Area,3,3,27,0 to 1 Year,Ready To Move,1600,Naupada Thane,285,19.2000627,72.9666732,3352.941176
Unnamed Property,109 Kulupwadi Mumbai,1.07 Crore,23777,Carpet Area,1,1,1,10+ Year,Ready To Move,450,Kulupwadi Mumbai,107,19.2276283,72.8668334,1258.823529
Arkade Green Avenue ,403 Borivali East Mumbai,2.55 Crore,28021,Carpet Area,3,3,4,10+ Year,Ready To Move,910,Borivali Mumbai,255,19.2267228,72.8619328,3000
Gami Viona ,2006 Kharghar Navi Mumbai Mumbai,1 Crore,16260,Built Up Area,2,2,20,0 to 1 Year,Ready To Move,1025,Kharghar Navi-Mumbai,100,19.0433404,73.0663401,1176.470588
Unnamed Property,Kandivali East Mumbai,68 Lac,22666,Carpet Area,1,1,5,10+ Year,Ready To Move,300,Kandivali Mumbai,68,19.2103809,72.8640837,800
Indiabulls Greens ,004 Panvel Navi Mumbai Mumbai,94 Lac,5562,Super Built Up Area,3,3,4,1 to 5 Year,Ready To Move,1690,Panvel Navi-Mumbai,94,19.0298386,73.0308805,1105.882353
Indiabulls Greens ,001 Panvel Navi Mumbai Mumbai,73.5 Lac,6125,Super Built Up Area,2,2,31,1 to 5 Year,Ready To Move,1200,Panvel Navi-Mumbai,73.5,19.0298386,73.0308805,864.7058824
Indiabulls Greens ,005 Panvel Navi Mumbai Mumbai,69 Lac,7744,Carpet Area,2,2,25,0 to 1 Year,Ready To Move,891,Panvel Navi-Mumbai,69,19.0298386,73.0308805,811.7647059
Runwal Elegante ,Shastri Nagar Mumbai,5.75 Crore,31081,Built Up Area,3,3,5,1 to 5 Year,Ready To Move,1850,Shastri Nagar,575,19.1380387,72.8280164,6764.705882
Unnamed Property,701 Naupada Thane Mumbai,1.72 Crore,13760,Super Built Up Area,2,2,7,0 to 1 Year,Ready To Move,1250,Naupada Thane,172,19.2000627,72.9666732,2023.529412
Unnamed Property,601 Naupada Thane Mumbai,1.62 Crore,12960,Super Built Up Area,2,2,6,0 to 1 Year,Ready To Move,1250,Naupada Thane,162,19.2000627,72.9666732,1905.882353
Unnamed Property,801 Naupada Thane Mumbai,1.25 Crore,10869,Super Built Up Area,1,2,8,0 to 1 Year,Ready To Move,1150,Naupada Thane,125,19.2000627,72.9666732,1470.588235
Unnamed Property,802 Naupada Thane Mumbai,2.4 Crore,12000,Super Built Up Area,3,3,8,0 to 1 Year,Ready To Move,2000,Naupada Thane,240,19.2000627,72.9666732,2823.529412
Unnamed Property,603 khopat Thane Mumbai,1.15 Crore,16428,Super Built Up Area,2,1,2,1 to 5 Year,Ready To Move,1020,Khopat Thane,115,19.2045692,72.9688267,1352.941176
Unnamed Property,401 Naupada Thane Mumbai,1.05 Crore,23333,Super Built Up Area,1,1,4,1 to 5 Year,Ready To Move,630,Naupada Thane,105,19.2000627,72.9666732,1235.294118
Hiranandani Flora CHS ,1101 Hiranandani Estate Thane Mumbai,90 Lac,21479,Carpet Area,1,2,11,5 to 10 Year,Ready To Move,419,Hiranandani-Estate Thane,90,19.2570093,72.9839263,1058.823529
Neelsidhi Anexo ,Ghansoli Navi Mumbai Mumbai,1 Crore,22831,Carpet Area,1,2,9,0 to 1 Year,Ready To Move,438,Ghansoli Navi-Mumbai,100,19.1193307,72.9995096,1176.470588
Unnamed Property,303 Naupada Thane Mumbai,98 Lac,16333,Super Built Up Area,1,1,3,1 to 5 Year,Ready To Move,600,Naupada Thane,98,19.2000627,72.9666732,1152.941176
Unnamed Property,222 Kolshet Road Thane Mumbai,1.25 Crore,10416,Super Built Up Area,3,3,8,5 to 10 Year,Ready To Move,1200,Road Thane,125,19.2326261,72.9875274,1470.588235
Luxora Crystal Spires ,101 Manpada Thane Mumbai,8 Crore,13333,Super Built Up Area,4,4,1,0 to 1 Year,Ready To Move,6000,Manpada Thane,800,19.2336292,72.976389,9411.764706
Luxora Crystal Spires ,1111 Manpada Thane Mumbai,3.5 Crore,21341,Super Built Up Area,3,3,9,0 to 1 Year,Ready To Move,2500,Manpada Thane,350,19.2336292,72.976389,4117.647059
Surya Gokul Garden ,501 Kandivali East Mumbai,1.29 Crore,15000,Super Built Up Area,2,2,6,10+ Year,Ready To Move,860,Kandivali Mumbai,129,19.2103809,72.8640837,1517.647059
Hiranandani Flora CHS ,Hiranandani Estate Thane Mumbai,88 Lac,22000,Carpet Area,1,2,9,5 to 10 Year,Ready To Move,400,Hiranandani-Estate Thane,88,19.2570093,72.9839263,1035.294118
Unnamed Property,Hiranandani Estate Thane Mumbai,1 Crore,23866,Carpet Area,1,2,9,5 to 10 Year,Ready To Move,419,Hiranandani-Estate Thane,100,19.2570093,72.9839263,1176.470588
